Abalieno	Generic	Protego	Moves a person away from you. Count: Admoveo	CD
Accio	Generic	Scutum	Quickly pulls an object that you could physically move. Count: Relascio	Goblet – Book
Acutus	Transfiguration	-	Turns a small object into a needle	Stone - Book
Admoveo	Generic	Protego	Brings a person closer to you. Count: Abalieno	CD
Aguamenti	Elemental	Scutum	Conjures a jet of clear, pure water and shoots it from the tip of the wand	Goblet – Book
Anapneo	Generic	-	Clears the target person's throat if it is blocked	Prince – Book
Anteoculatia	Transfiguration	Protego	Causes the target to grow antlers	Prince – Book
Aqua Eructo	Elemental	Scutum	Create a spout of water from the tip of the wand. The intensity of the water flow can be anything from a thin fountain to an immense, powerful and destructive jet.	Goblet – Book
Ardemonio	Prohibited	-	It causes a demonic fire impossible to Control (Fiendfyre)	Hallows – Book
Arresto momentum	Generic	Protego	Slows the movement of creatures and objects	Prisoner – Book
Ascendo	Generic	-	Raises the user up in the air	Goblet – Book
Avada Kedavra	Prohibited	-	Kills the target	Goblet – Book
Avifors	Transfiguration	Protego/Finite	Turns the target into a bird	Chamber – Videogame
Avis	Conjuration	Finite	Conjures a flock of birds	Goblet – Book
Balbutio	Magical	Protego	The target will have difficulties when trying to talk	Chamber – Book
Baubillious	Elemental	Scutum	It produces an electric field of white light that damages the target	Carte
Bombarda	Physical	Scutum	It produces a violent explosion	Prisoner – Movie
Calvario	Magical	Protego	The hair of the target begins to fall	Lego HP
Cantis	Magical	Protego	It forces the target to sing in an irrepressible way	Lego HP
Carpe Retractum	Conjuration	Protego/Scutum/Finite	Hooks a target with a magic rope and pulls it toward the user	Prisoner – Book
Casus	Magical	Protego	It creates an explosion of energy that throws the target to the ground	HP Videogame
Cesia Faces	Elemental	Scutum	It creates small blue waterproof flames	Stone – Book
Circularis	Transfiguration	Finite	Conjures a magic platform that floats a few inches from the ground	Fandom
Colloshoo	Generic	Protego	Glues the target's shoes to the ground	Carte
Confringo	Generic	Protego	Makes the target explode	Hallows – Book
Confundus	Generic	Protego	Confuses the target	Goblet – Book
Conjunctivitis	Generic	Protego	Closes the eyes and reduces the visibility of the target	Goblet – Book
Crucio	Prohibited	-	It causes immense pain in the target	Goblet – Book
Defodio	Generic	-	Digs underground tunnels	Hallows – Book
Densaugeo	Transfiguration	Protego	It grows the target's teeth	Goblet – Book
Deprimo	Magical	Scutum	Causes a very high pressure that explodes an object	Hallows – Book
Depulso	Generic	Scutum	Forcefully pushes an object away from the user	Prisoner – Book
Descendo	Generic	Protego/Scutum	Bring objects and creatures down	Hallows – Book
Diffindo	Magical	Protego	Cuts an object or creates cutting wounds on a creature	Goblet – Book
Diminuendo	Magical	Protego	Shrinks	Fenice – Movie
Dismundo	Magical	Protego	Makes the opponent have scary visions and distracts him	Fandom
Dissendio	Magical	Protego	Shatter objects, like a target's bone	Hallows – Videogame
Doloferiho	Prohibited	Protego Horribilis	Causes serious internal injuries	Order – Book
Dominusterra	Physical	Finite	It creates a slight earthquake shake that loses its balance	Fandom
Draconifors	Transfiguration	Finite	Transform objects into a small dragon	Prisoner – Videogame
Duro	Transfiguration	Finite	It turns objects into solid stone	Hallows – Book
Ebublio	Physical	Scutum	It creates bubbles that reach the opponent	Goblet – Videogame
Emancipare	Defensive	-	Count: Brachiabindo.	Cursed Child
Engorgio	Transfiguration	Protego	It enlarges something. Count: Reducio	Chamber - Book
Engorgio Skullus	Transfiguration	Protego	It enlarges the head. Count: Redactum Skullus	Lego1-4 – Videogame
Entomorphis	Transfiguration	Protego	Turns the target into an insect for a short time	Order – Book
Evanesco	Defensive	-	Makes objects or creatures disappears. It can not be used to attack.	Goblet – Book
Everte Statum	Magical	Protego	It flings back a target	Chamber – Movie
Excelsiorsempra	Magical	Protego	Magically flings your opponent back	Fandom
Expelliarmus	Magical	Protego	Disarms the opponent	Chamber – Book
Expulso	Physical	Scutum	It causes an explosion of blue light caused by pressure	Hallows - Book
Exulcero	Magical	Protego	Irritates and makes the target's face swell.	Hallows – Book
Farfallus Explodit	Physical	Scutum - Finite	It creates a swarm of beautiful butterflies that explode when they touch something	Fandom
Fastrunom	Physical	Protego	A very strong sound is emitted by the wand that sluts down and stuns the target. Count: Muffliato	Fandom
Finite	Defensive	-	Generic protection from long-lasting effects and transfigures on targets outside the duel	Chamber – Movie
Finitem Incantem	Defensive	-	Ends the effects of a spell	Chamber – Movie/Book
Flipendo	Magical	Protego	Lightly pushes back the target	Videogame
Fulgari	Conjuration	Protego	It binds target hands with magic ropes	Cursed Child
Fuocondro	Defensive	-	Create a heat shield around the target allowing it to withstand the extreme cold	Fandom
Furitum	Transfiguration	Protego	Turns the target into a ferret	Goblet - Book
Furnuculus	Magical	Protego	It covers the target in boils and pimples	Chamber – Book
Geminio	Generic	Finite	Create a duplicate of an object	Hallows – Book
Glacius	Elemental	Scutum	It emits a jet of cold air from the wand that freezes the target and turns off fires	Prisoner – Videogame
Gommosus	Generic	 -	Transforms a surface into rubber allowing you to bounce	Chamber – Videogame
Herbifors	Transfiguration	Protego	Transforms hair into flowers	HP lego
Herbivicus	Transfiguration	Finite	It instantly grows plants in their adult form	Videogame
Homorfus	Transfiguration	 -	Transforms a transfigured object into its original shape	Prisoner – Book
Ignifugus	Defensive	-	It makes the fire harmless	Prisoner – Book
Immobilus	Magical	Protego	It makes a living target motionless	Chamber – Movie
